Model,Epoch,Training Time,Inference Time,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
softmax,0,54.36428213119507,7.1827051639556885,1.7664306145541522,1.597207748889923,0.3465361926628619,0.4224609375
softmax,1,53.67414569854736,7.730792999267578,1.4872638011465267,1.4858825027942657,0.4565888074587803,0.457421875
softmax,2,53.95713448524475,7.982076406478882,1.3930093725116885,1.438666617870331,0.49466278692897486,0.47587890625
softmax,3,54.164823055267334,7.4877235889434814,1.3328339007436012,1.3375332325696945,0.5166972258261272,0.5146484375
softmax,4,53.69766640663147,7.614238739013672,1.2974102831616694,1.2693960428237916,0.5312779019681775,0.54541015625
softmax,5,53.514188051223755,6.906073331832886,1.2538625944633872,1.2452533841133118,0.5503746812440911,0.55341796875
softmax,6,53.191954374313354,7.725490093231201,1.2181455815324977,1.214757227897644,0.5610849808673469,0.56845703125
softmax,7,53.30941700935364,7.026385068893433,1.1906854698852616,1.163367083668709,0.5727040816326531,0.58291015625
softmax,8,54.09681749343872,6.845499515533447,1.1601950474539582,1.1210722401738167,0.5838767539481727,0.58935546875
softmax,9,53.14517688751221,7.528769493103027,1.1335738021500257,1.072317786514759,0.5937141262146891,0.6140625
softmax,10,53.48723077774048,6.858503580093384,1.102024883944161,1.0681290581822396,0.607230548651851,0.618359375
softmax,11,53.49324870109558,7.876715183258057,1.0806639443854897,1.0310191065073013,0.6120894450922402,0.63388671875
softmax,12,53.06772255897522,6.792431354522705,1.0483525389311266,1.0249841451644897,0.6250876915089938,0.63505859375
softmax,13,53.427884340286255,6.954081296920776,1.0187147399600671,0.9954562395811081,0.6364795918367347,0.64482421875
softmax,14,53.89984393119812,7.493990898132324,1.0045716494930035,0.9611102491617203,0.6406010842444946,0.65810546875
softmax,15,53.32819318771362,6.649686336517334,0.9750782406451751,0.9872155040502548,0.6527981505710252,0.64951171875
softmax,16,53.00802040100098,7.810224294662476,0.9621456910152825,0.9410566672682762,0.6563855230200047,0.6703125
softmax,17,53.36376142501831,6.639791011810303,0.9400002448534479,0.9157268241047859,0.6638472575922402,0.68193359375
softmax,18,53.24166202545166,7.137159585952759,0.9101544439184422,0.9173402935266495,0.677311862305719,0.68291015625
softmax,19,52.42739725112915,6.725469350814819,0.8975667193227884,0.9032565250992775,0.6796316963677503,0.68515625
softmax,20,53.310950756073,6.443446397781372,0.870821084903211,0.855043214559555,0.6897480867955149,0.70595703125
softmax,21,52.524916648864746,7.262187242507935,0.8543400819204292,0.8452518865466118,0.6952885842444946,0.71044921875
softmax,22,52.23370718955994,6.294887542724609,0.8327308683371057,0.8491678297519684,0.7047393176020408,0.7015625
softmax,23,52.472012758255005,7.197052955627441,0.8140221967989084,0.8279792487621307,0.7117028063049122,0.71181640625
softmax,24,52.552183389663696,6.276647567749023,0.797144681823497,0.8073392614722252,0.7129464286322497,0.72060546875
softmax,25,52.38195991516113,8.406729221343994,0.7844589580686725,0.7804473459720611,0.7208067601432606,0.726171875
softmax,26,52.775447607040405,6.2640380859375,0.7677759093289472,0.7826463207602501,0.7261678889697912,0.7283203125
softmax,27,52.167389154434204,7.311789274215698,0.7504283122870387,0.7532820641994477,0.7316167093053156,0.7447265625
softmax,28,52.5355339050293,6.371521711349487,0.7396798422750162,0.7557877734303474,0.7357900191326531,0.74267578125
softmax,29,52.010536670684814,7.479733943939209,0.7227581334965569,0.7460042387247086,0.7423628827138823,0.743359375
softmax,30,52.56070113182068,6.371932744979858,0.7129653531069658,0.7306938394904137,0.7472775830906264,0.74599609375
softmax,31,52.936708211898804,7.416749715805054,0.6897989186097164,0.7233972787857056,0.7532445791424537,0.75234375
softmax,32,52.67052173614502,6.3236284255981445,0.6896240239848896,0.7298857845366001,0.754639668428168,0.750390625
softmax,33,52.292715549468994,7.559289216995239,0.6769623859804503,0.6953560769557953,0.7591278698979592,0.75830078125
softmax,34,52.73210096359253,6.347532749176025,0.6582991292282027,0.6927439622581005,0.7670998086734694,0.7591796875
softmax,35,52.15832281112671,7.4174535274505615,0.6558683797412989,0.6939515598118305,0.7675621810616279,0.76328125
softmax,36,52.21306777000427,6.248297691345215,0.6392230654553491,0.6695534393191338,0.7693120216836735,0.7724609375
softmax,37,53.030781507492065,7.259763956069946,0.6351791411942366,0.6736809581518173,0.7735291774175606,0.77236328125
softmax,38,52.33545422554016,6.5312418937683105,0.6183039065526457,0.6684431731700897,0.77967155618327,0.77197265625
softmax,39,52.63210678100586,7.207243204116821,0.6142750259260742,0.6651016734540462,0.7814373407436876,0.77529296875
softmax,40,52.77902960777283,6.91832709312439,0.6052702727670572,0.6583600521087647,0.7841278700804224,0.77568359375
softmax,41,52.6103241443634,6.542914390563965,0.5952487767350917,0.6604304440319538,0.7903419961126483,0.776171875
softmax,42,52.41655516624451,7.122913122177124,0.593053367369029,0.6517149351537228,0.7884765626216421,0.77685546875
softmax,43,52.94717288017273,6.253154754638672,0.591328643414439,0.6533286839723587,0.7896125638971523,0.77890625
softmax,44,52.08497643470764,7.305208206176758,0.5887048408693197,0.6669769361615181,0.7902184311224489,0.77587890625
softmax,45,52.036436796188354,6.217579364776611,0.5788245011045008,0.6558300331234932,0.7942323024783816,0.78154296875
softmax,46,51.66306400299072,7.059268951416016,0.5793325717047769,0.6523279473185539,0.7930125956024442,0.7796875
softmax,47,52.03271484375,6.2992658615112305,0.5765437649524942,0.6697155505418777,0.7945671236636688,0.77080078125
softmax,48,52.12766933441162,7.9599995613098145,0.5730633842093604,0.6533171713352204,0.797297512694281,0.7861328125
softmax,49,51.89094948768616,6.220751047134399,0.5740923502919625,0.6551257267594337,0.7937340563049122,0.77548828125
