Model,Epoch,Training Time,Inference Time,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
learn,0,15.087927341461182,2.0190446376800537,0.9725574481994548,0.3179517053999007,0.6784352837724889,0.90341796875
learn,1,15.042413711547852,2.07382869720459,0.3485026058047376,0.19914764212444425,0.8938331117021276,0.9373046875
learn,2,15.48987889289856,2.9393861293792725,0.2589431284431447,0.16421931791119276,0.920689273134191,0.94833984375
learn,3,15.145082473754883,2.1040163040161133,0.21624197853689497,0.13197507681325077,0.9336934840425531,0.9576171875
learn,4,15.064180612564087,2.040626049041748,0.1848470187884696,0.11704883204074576,0.9421930409492331,0.9638671875
learn,5,15.135664463043213,2.7354087829589844,0.1679286521007406,0.10602895261254161,0.9475121898854032,0.9669921875
learn,6,16.16558337211609,2.137028932571411,0.15518535370046788,0.09880583083722741,0.9511968085106383,0.96826171875
learn,7,15.16066598892212,2.083111524581909,0.14224745133455763,0.08694961376604624,0.9556405143534884,0.97216796875
learn,8,14.970009326934814,2.7757208347320557,0.13274030816998889,0.08081465327122714,0.9580839983960415,0.97431640625
learn,9,15.334723472595215,2.0485057830810547,0.12463586326450743,0.07780120087554679,0.9609264186088075,0.97470703125
learn,10,15.155114889144897,2.066624402999878,0.11688350567475278,0.07424380555166862,0.9633643617021277,0.97568359375
learn,11,15.267866849899292,2.6466822624206543,0.11130047682672739,0.07301092574489303,0.9644669771194458,0.9765625
learn,12,15.686063766479492,2.137375593185425,0.10721983765351012,0.07049391175387427,0.9672096632896585,0.9775390625
learn,13,15.207859516143799,2.0738794803619385,0.10575030141688407,0.0683122830814682,0.9662954345662543,0.97822265625
learn,14,15.124659776687622,2.6269454956054688,0.10256877402041821,0.06757895649352577,0.9677304965384463,0.97841796875
